fold,test_accuracy,avg_train_accuracy,avg_val_accuracy,model_path
1,73.07692307692307,87.15027882996634,82.84219663742691,models/model_modified_fold_1.pth
2,76.53846153846153,95.25528457993138,89.97133302784323,models/model_modified_fold_2.pth
3,70.76923076923077,91.41317773475669,87.03237874097007,models/model_modified_fold_3.pth
4,70.38461538461539,89.3270202020202,78.51608187134501,models/model_modified_fold_4.pth
5,68.07692307692308,77.79106858054227,66.45416485428447,models/model_modified_fold_5.pth
