fold,test_accuracy,avg_train_accuracy,avg_val_accuracy,model_path
1,65.38461538461539,86.84277652840244,82.1897644927536,models/model_processed_fold_1.pth
2,73.07692307692307,88.49992269635126,83.3608255332208,models/model_processed_fold_2.pth
3,66.15384615384615,85.04233674463936,81.26591172615444,models/model_processed_fold_3.pth
4,63.07692307692307,82.95812774122807,78.1969572368421,models/model_processed_fold_4.pth
5,60.76923076923077,80.66113723441308,79.41054143980641,models/model_processed_fold_5.pth
